soc_code,bls_occ_title,tot_emp,emp_prse,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
51-4122,"Welding, Soldering, and Brazing Machine Setters, Operators, and Tenders",31600,2.6,24.15,50220.0,0.5,17.72,19.5,23.04,27.59,31.99,36860.0,40560.0,47920.0,57390.0,66540.0,,
51-4191,"Heat Treating Equipment Setters, Operators, and Tenders, Metal and Plastic",14000,3.5,24.26,50450.0,0.8,16.92,19.55,23.44,28.08,31.9,35180.0,40660.0,48750.0,58400.0,66350.0,,
51-4192,"Layout Workers, Metal and Plastic",5970,4.9,31.98,66520.0,1.9,19.22,24.48,30.71,38.21,45.12,39980.0,50910.0,63870.0,79470.0,93860.0,,
51-4193,"Plating Machine Setters, Operators, and Tenders, Metal and Plastic",32410,2.6,21.69,45100.0,0.6,16.25,17.91,21.14,23.85,29.02,33790.0,37260.0,43960.0,49600.0,60370.0,,
51-4194,"Tool Grinders, Filers, and Sharpeners",5600,5.8,25.59,53240.0,1.2,16.99,19.61,24.07,29.88,37.1,35350.0,40800.0,50060.0,62150.0,77170.0,,
51-4199,"Metal Workers and Plastic Workers, All Other",15900,3.7,23.36,48580.0,0.7,16.99,18.84,22.09,26.01,31.5,35350.0,39190.0,45950.0,54100.0,65510.0,,
51-5111,Prepress Technicians and Workers,23840,2.3,24.43,50800.0,0.6,17.22,19.68,23.41,28.16,31.77,35810.0,40930.0,48690.0,58580.0,66080.0,,
51-5112,Printing Press Operators,144260,1.2,22.77,47360.0,0.4,16.03,17.98,22.01,26.8,30.54,33330.0,37390.0,45780.0,55740.0,63520.0,,
51-5113,Print Binding and Finishing Workers,33180,2.4,21.38,44460.0,0.5,15.49,17.75,20.33,23.62,28.44,32220.0,36910.0,42290.0,49130.0,59150.0,,
51-6011,Laundry and Dry-Cleaning Workers,198040,1.7,16.79,34920.0,0.4,13.19,14.6,16.78,18.06,20.77,27440.0,30360.0,34890.0,37560.0,43190.0,,
51-6021,"Pressers, Textile, Garment, and Related Materials",26120,3.1,16.65,34640.0,0.7,13.07,14.36,16.85,18.24,20.7,27180.0,29870.0,35060.0,37940.0,43050.0,,
51-6031,Sewing Machine Operators,104880,1.6,18.08,37600.0,0.4,13.39,15.37,17.63,20.59,23.0,27860.0,31960.0,36670.0,42830.0,47840.0,,
51-6041,Shoe and Leather Workers and Repairers,7450,8.0,18.83,39160.0,1.4,13.56,15.03,18.17,21.96,25.26,28210.0,31270.0,37800.0,45670.0,52550.0,,
