model,profile_name,rank,onet_soc_code,soc_code,occupation_title,interest_score,skill_score,education_score,job_zone_score,labor_market_score,why
weighted,Creative Careers,5,27-2012.00,27-2012,Producers and Directors,0.9516571879919486,0.3823954482575571,1.0,1.0,0.7141239512537063,"Strongest fit: Interests (Artistic interest, 0.95); Education fit (1.00)."
cosine,Data and Technology,1,15-2051.01,15-2051,Business Intelligence Analysts,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
cosine,Data and Technology,2,15-1252.00,15-1252,Software Developers,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
cosine,Data and Technology,3,15-1243.01,15-1243,Data Warehousing Specialists,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
cosine,Data and Technology,4,15-2051.02,15-2051,Clinical Data Managers,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
cosine,Data and Technology,5,13-2099.01,13-2099,Financial Quantitative Analysts,0.9836898933719765,0.4608848831907683,0.0,0.0,0.6794942313209111,"Strongest fit: Interests (Investigative interest, 0.98); Skills (Mathematics, 0.46)."
knn_cosine,Data and Technology,1,15-2051.01,15-2051,Business Intelligence Analysts,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
knn_cosine,Data and Technology,2,15-1252.00,15-1252,Software Developers,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
knn_cosine,Data and Technology,3,15-1243.01,15-1243,Data Warehousing Specialists,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
knn_cosine,Data and Technology,4,15-2051.02,15-2051,Clinical Data Managers,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
knn_cosine,Data and Technology,5,13-2099.01,13-2099,Financial Quantitative Analysts,0.9836898933719765,0.4608848831907683,0.0,0.0,0.6794942313209111,"Strongest fit: Interests (Investigative interest, 0.98); Skills (Mathematics, 0.46)."
knn_euclidean,Data and Technology,1,15-2051.01,15-2051,Business Intelligence Analysts,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
knn_euclidean,Data and Technology,2,15-1252.00,15-1252,Software Developers,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
knn_euclidean,Data and Technology,3,15-1243.01,15-1243,Data Warehousing Specialists,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
knn_euclidean,Data and Technology,4,15-1243.00,15-1243,Database Architects,0.9731805024357021,0.45624297570643657,1.0,1.0,0.7627195032100356,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
knn_euclidean,Data and Technology,5,15-2051.02,15-2051,Clinical Data Managers,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
knn_manhattan,Data and Technology,1,33-3021.06,33-3021,Intelligence Analysts,0.9939533112194125,0.353528725632389,1.0,1.0,0.7076618043249734,"Strongest fit: Interests (Investigative interest, 0.99); Education fit (1.00)."
knn_manhattan,Data and Technology,2,15-2051.01,15-2051,Business Intelligence Analysts,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
knn_manhattan,Data and Technology,3,23-2011.00,23-2011,Paralegals and Legal Assistants,0.9759821510090068,0.28821263976666217,1.0,1.0,0.6467531254973728,"Strongest fit: Interests (Investigative interest, 0.98); Education fit (1.00)."
knn_manhattan,Data and Technology,4,15-1252.00,15-1252,Software Developers,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
knn_manhattan,Data and Technology,5,15-1243.01,15-1243,Data Warehousing Specialists,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
knn_minkowski,Data and Technology,1,15-1252.00,15-1252,Software Developers,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
knn_minkowski,Data and Technology,2,15-2051.01,15-2051,Business Intelligence Analysts,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
knn_minkowski,Data and Technology,3,15-1243.01,15-1243,Data Warehousing Specialists,0.9493776776990556,0.48224056535814785,1.0,1.0,0.7627195032100356,"Strongest fit: Interests (Conventional interest, 0.95); Education fit (1.00)."
knn_minkowski,Data and Technology,4,15-2051.02,15-2051,Clinical Data Managers,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
knn_minkowski,Data and Technology,5,15-1251.00,15-1251,Computer Programmers,0.9450175814901981,0.49898101603289385,1.0,1.0,0.7094074773923607,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
weighted,Data and Technology,1,15-1252.00,15-1252,Software Developers,0.9508267517885809,0.459391959251038,1.0,1.0,0.9511152279679225,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
weighted,Data and Technology,2,15-2051.02,15-2051,Clinical Data Managers,0.9532707621903183,0.4486160078144451,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.95); Education fit (1.00)."
weighted,Data and Technology,3,15-1241.00,15-1241,Computer Network Architects,0.9617007233987602,0.43568038081777144,1.0,1.0,0.8483729828731985,"Strongest fit: Interests (Investigative interest, 0.96); Education fit (1.00)."
weighted,Data and Technology,4,15-2051.01,15-2051,Business Intelligence Analysts,0.9677676493764161,0.4272236825773014,1.0,1.0,0.8478367876712958,"Strongest fit: Interests (Investigative interest, 0.97); Education fit (1.00)."
weighted,Data and Technology,5,15-1299.08,15-1299,Computer Systems Engineers/Architects,0.9555473722762471,0.42448453057295665,1.0,1.0,0.8772334311026355,"Strongest fit: Interests (Investigative interest, 0.96); Education fit (1.00)."
cosine,Healthcare,1,29-1229.02,29-1229,Hospitalists,0.977050016458834,0.4737072804045514,1.0,1.0,0.8960350641547551,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
cosine,Healthcare,2,29-1215.00,29-1215,Family Medicine Physicians,0.9805187319884263,0.4843703216081981,1.0,1.0,0.7668604878983276,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
cosine,Healthcare,3,29-1171.00,29-1171,Nurse Practitioners,0.9754416939000632,0.473650336712443,1.0,1.0,0.8656035978474306,"Strongest fit: Interests (Social interest, 0.98); Education fit (1.00)."
